beta,gamma,alpha,l
0.055714623402949005,0.027406891011903953,0.8997241353844494,0.9258382930652259
0.04943622564502661,0.02099979271485662,0.9181116926578397,0.6823306856778387
0.051178581964789284,0.021301226119949463,0.7214182929571203,0.6693317755211403
0.05405476887680581,0.026166088737465287,0.8214080850855902,0.9740916794290521
0.04230927858377935,0.008602397955900412,0.568412424099807,0.27877645682976415
0.050062897500733325,0.02186198509970687,0.96408293119206,0.7226175240246747
0.04404500431360342,0.01307928021804703,0.5415417398634003,0.4770720493837791
0.04838462925668246,0.011736394349800741,0.2038784113594979,0.5734275166053108
0.05166017347629471,0.022766605123524505,0.6968987774737809,0.8606051258851453
0.05119687681411311,0.018545701816091137,0.3805769525023116,0.7043996593948721
0.05243358000291856,0.02438404581225383,0.9140156136117448,0.8816684139220057
0.047946368745196984,0.014219699177648829,0.33778672058121517,0.5814075140130006
0.045245806381060544,0.01569308230333334,0.9031794683826613,0.4543211110656227
0.048937274601924124,0.015232061282452466,0.21625817660912772,0.8599659241555537
0.04803626450454618,0.017953261302640855,0.7735757392757575,0.5268099308895748
0.05540135813016603,0.023266175184394326,0.3417083843909058,0.9848428144685162
0.05206305179220714,0.023182735042033192,0.7319433002726624,0.7570819127027816
0.04904629874142809,0.017153381261031317,0.30407403184494597,0.7155090986665938
0.054026713368877675,0.02570723497753714,0.9439456631782743,0.835532816901526
0.04872508705101391,0.019923715510386943,0.8167682943259661,0.6473851331104229
0.04867114518060546,0.017460123878646202,0.511906401974772,0.6560590367974588
0.05304999961387632,0.02527584347807843,0.9215796233841542,0.8857360946409792
0.048545294981784545,0.017996470172512817,0.6606696186961682,0.5412581664071519
0.05325016996522913,0.018995084356925533,0.23051894346666368,0.9381170333931028
0.05017229844529814,0.02167158062630539,0.9562618276046473,0.7492022158354984
0.04563845020406929,0.01548548631752042,0.6911643979920438,0.537150709319658
0.05342303108669498,0.02554867814042358,0.8598971110789637,0.9004825400435086
0.05295344758873214,0.02409433503652563,0.900928540706875,0.7835942014088016
0.041870705645013356,0.011427184159907122,0.91087713229535,0.3157680428529843
0.0385873353233248,0.006628208323465869,0.8440317770911844,0.2199399908138071
0.04452102850102832,0.012053370915224963,0.5188683471525188,0.3632693116252087
0.0537740196696595,0.024206607427426037,0.6010460706413036,0.8137795278390514
0.05563775152842136,0.026870190996786322,0.6038325445941078,0.9694988254717333
0.04437205360679712,0.013095305285852971,0.750920129249339,0.3644758646981583
0.050866328307466825,0.022393742873224876,0.7779528024251492,0.8101110703723436
0.05300496594944088,0.018057925369899558,0.202610107599568,0.9543443816861844
0.05711074660866323,0.027169869287530263,0.5569448585701845,0.986792518198957
